response_id,job_title,gender,age,switched_into_data_career,role_category,country_of_residence,average_of_current_salary,ethnicity,rating_salary,rating_work_life_balance,rating_coworkers,rating_management,rating_upward_mobility,rating_learning,top_priority_when_looking_for_new_job,Highest_Level_of_Education,diificulty_breaking_into_data,favourite_programming_language,industry
62a33b3db4da29969c62df3d,Data Analyst,Male,26,1,Data Analyst,United States,115500,White or Caucasian,9,9,7,5,5,7,Remote Work,Unknown,Very Difficult,Python,Healthcare
62a33ba1bae91e4b8b82e35c,Data Analyst,Male,36,0,Data Analyst,Canada,53000,Asian or Asian American,1,2,5,2,1,3,Remote Work,Unknown,Very Difficult,R,Finance
62a33c2cbc6861bf3176bec1,Data Engineer,Male,23,0,Data Engineer,Nigeria,20000,Black or African American,0,8,7,5,7,7,Good Work/Life Balance,Unknown,Easy,Python,Energy & Utilities
62a33c8624a26260273822f9,"Analytics Consultant ",Female,35,1,Other,Canada,187500,White or Caucasian,10,6,7,10,7,10,Remote Work,Unknown,Very Easy,R,Finance
62a33c91f3072dd892621e03,Data Analyst,Male,44,1,Data Analyst,United States,53000,Black or African American,1,4,4,4,0,1,Better Salary,Unknown,Difficult,R,Healthcare
62a33cb6cf25554317300177,Data Analyst,Male,33,1,Data Analyst,DR Congo,20000,Black or African American,2,3,3,3,3,2,Good Work/Life Balance,Unknown,Difficult,Python,Other
62a33cb72e54c9003e531c65,Data Scientist,Male,24,1,Data Scientist,Other/Not Specified,20000,Black or African American,0,6,6,6,6,5,Better Salary,Unknown,Difficult,Python,Finance
62a33cd30f8c8599d5af0f8f,Data Engineer,Male,35,1,Data Engineer,United States,137500,Asian or Asian American,10,5,5,5,5,9,Remote Work,Unknown,Neither easy nor difficult,Other:SQL,Retail & E-commerce
62a33cd3cf255543173001d9,Data Analyst,Male,35,1,Data Analyst,United States,95500,Asian or Asian American,4,4,4,4,5,5,Better Salary,Unknown,Neither easy nor difficult,R,Healthcare
62a33cd8bc6861bf3176c05f,Data Analyst,Male,28,1,Data Analyst,United States,53000,Hispanic or Latino,2,0,3,3,0,4,Better Salary,Unknown,Very Difficult,Python,Retail & E-commerce
62a33ce918134ddc75ce8c30,Data Analyst,Male,37,1,Data Analyst,Canada,75500,White or Caucasian,10,10,8,8,8,10,Remote Work,Unknown,Neither easy nor difficult,Python,Logistics & Transport
62a33cf30a77c1a77f65baa2,Data Analyst,Male,32,1,Data Analyst,Serbia,20000,White or Caucasian,3,8,10,10,7,8,Better Salary,Unknown,Neither easy nor difficult,Python,Other
62a33d15f408bae018ed370d,Data Analyst,Male,34,1,Data Analyst,Argentina,20000,Other,1,10,9,9,5,10,Better Salary,Unknown,Neither easy nor difficult,R,Tech
62a33d1ebae91e4b8b82e707,Data Scientist,Male,30,1,Data Scientist,United Kingdom,20000,White or Caucasian,3,10,10,6,7,8,Good Work/Life Balance,Unknown,Easy,Python,Education
62a33d4624a26260273824c4,Data Analyst,Male,31,0,Data Analyst,United States,53000,White or Caucasian,4,5,5,5,4,5,Good Culture,Unknown,Neither easy nor difficult,R,Construction
62a33d5c0f8c8599d5af107c,Data Analyst,Male,29,1,Data Analyst,United States,53000,White or Caucasian,4,10,7,7,7,5,Good Culture,Unknown,Difficult,Python,Finance
62a33d850f8c8599d5af10cb,Data Analyst,Male,22,1,Data Analyst,Niger,20000,Black or African American,1,2,4,2,2,2,Better Salary,Unknown,Neither easy nor difficult,Python,Tech
62a33d9bf8f7561645852496,Student/Looking/None,Male,23,1,Student/Looking/None,United States,20000,Black or African American,1,3,2,2,4,1,Better Salary,Unknown,Difficult,Python,Retail & E-commerce
62a33dbdd8c00e9f5419cd65,Student/Looking/None,Female,26,0,Student/Looking/None,Canada,53000,Asian or Asian American,7,8,8,6,8,3,Better Salary,Unknown,Very Difficult,R,Tech
62a33de124a26260273826b2,Data Analyst,Male,28,0,Data Analyst,Nigeria,20000,Black or African American,1,1,1,1,2,0,Better Salary,Unknown,Very Difficult,Python,Logistics & Transport
62a33dedd8c00e9f5419ce2b,Data Analyst,Male,29,1,Data Analyst,Kenya,53000,Black or African American,5,5,5,5,5,5,Remote Work,Unknown,Easy,Python,Finance
62a33dfbd8c00e9f5419ceda,Data Analyst,Female,31,1,Data Analyst,United States,115500,White or Caucasian,10,5,10,6,10,10,Remote Work,Unknown,Neither easy nor difficult,Other:Mostly use sql but that’s not programming language..,Tech
62a33e38f3072dd8926221d3,Data Analyst,Male,28,1,Data Analyst,Azerbaijan,20000,White or Caucasian,5,6,8,8,7,1,Remote Work,Unknown,Neither easy nor difficult,Python,Healthcare
62a33e54d8c00e9f5419cfe9,Data Analyst,Male,32,0,Data Analyst,Argentina,20000,Hispanic or Latino,4,4,4,4,4,4,Better Salary,Unknown,Neither easy nor difficult,Python,Finance
62a33e62575fa3a5ae88aabf,Data Analyst,Male,24,0,Data Analyst,Sudan,20000,Black or African American,7,8,8,8,3,8,Better Salary,Unknown,Easy,Python,Tech
62a33e63cec54911e9ca4f99,Data Analyst,Male,31,0,Data Analyst,India,20000,Asian or Asian American,4,6,6,6,7,7,Good Work/Life Balance,Unknown,Easy,Python,Tech
62a33e72bae91e4b8b82ea1a,Data Analyst,Male,23,0,Data Analyst,United States,75500,White or Caucasian,7,10,5,5,5,2,Other (Please Specify):Responsibilities,Unknown,Difficult,Other:SQL,Other
